Date,Close,Dividends,High,Low,Open,Volume,Stock Splits
2025-11-21 00:00:00-05:00,2.45,0.0,2.48,2.2,2.24,250647,0.0
2025-11-20 00:00:00-05:00,2.25,0.0,2.54,2.18,2.46,407400,0.0
2025-11-19 00:00:00-05:00,2.49,0.0,2.72,2.46,2.65,367700,0.0
2025-11-18 00:00:00-05:00,2.64,0.0,2.78,2.51,2.68,424600,0.0
2025-11-17 00:00:00-05:00,2.78,0.0,3.0,2.72,2.87,533900,0.0
2025-11-14 00:00:00-05:00,2.91,0.0,3.12,2.83,2.98,646100,0.0
2025-11-13 00:00:00-05:00,3.01,0.0,3.12,2.82,3.0,3647500,0.0
2025-11-12 00:00:00-05:00,3.22,0.0,3.36,3.15,3.31,693900,0.0
2025-11-11 00:00:00-05:00,3.3,0.0,3.8,3.22,3.72,697300,0.0
2025-11-10 00:00:00-05:00,3.67,0.0,4.28,3.56,4.28,788800,0.0
2025-11-07 00:00:00-05:00,4.19,0.0,5.27,3.73,3.73,6199600,0.0
2025-11-06 00:00:00-05:00,4.15,0.0,4.26,3.65,3.96,1025400,0.0
2025-11-05 00:00:00-05:00,3.99,0.0,4.53,3.25,3.25,4955900,0.0
2025-11-04 00:00:00-05:00,3.24,0.0,3.5,3.02,3.06,1326800,0.0
2025-11-03 00:00:00-05:00,3.2,0.0,6.89,3.01,6.76,46708100,0.0
2025-10-31 00:00:00-04:00,2.95,0.0,3.0,2.85,3.0,84900,0.0
2025-10-30 00:00:00-04:00,2.97,0.0,3.05,2.95,3.0,114500,0.0
2025-10-29 00:00:00-04:00,3.0,0.0,3.04,2.88,2.95,171300,0.0
2025-10-28 00:00:00-04:00,2.93,0.0,3.17,2.89,3.05,216800,0.0
2025-10-27 00:00:00-04:00,3.09,0.0,3.21,2.98,3.13,209300,0.0
2025-10-24 00:00:00-04:00,3.09,0.0,3.2,2.9,2.93,303400,0.0
2025-10-23 00:00:00-04:00,2.9,0.0,2.91,2.77,2.8,236400,0.0
2025-10-22 00:00:00-04:00,2.7,0.0,3.1,2.68,3.1,395700,0.0
2025-10-21 00:00:00-04:00,2.99,0.0,3.16,2.95,3.07,223800,0.0
2025-10-20 00:00:00-04:00,3.16,0.0,3.18,2.91,2.94,240800,0.0
2025-10-17 00:00:00-04:00,2.87,0.0,2.97,2.79,2.88,127500,0.0
2025-10-16 00:00:00-04:00,2.88,0.0,3.2,2.81,3.16,343900,0.0
2025-10-15 00:00:00-04:00,3.16,0.0,3.3,3.08,3.12,282200,0.0
2025-10-14 00:00:00-04:00,3.12,0.0,3.15,2.8,2.92,138200,0.0
2025-10-13 00:00:00-04:00,2.92,0.0,3.0,2.78,2.85,215500,0.0
2025-10-10 00:00:00-04:00,2.98,0.0,3.52,2.95,3.22,638600,0.0
2025-10-09 00:00:00-04:00,3.16,0.0,3.24,3.1,3.23,247500,0.0
2025-10-08 00:00:00-04:00,3.18,0.0,3.4,2.97,3.05,516200,0.0
2025-10-07 00:00:00-04:00,3.02,0.0,3.08,2.88,2.93,275100,0.0
2025-10-06 00:00:00-04:00,3.03,0.0,3.05,2.92,2.95,217900,0.0
2025-10-03 00:00:00-04:00,2.91,0.0,3.1,2.9,3.09,162700,0.0
2025-10-02 00:00:00-04:00,3.05,0.0,3.17,2.98,3.04,267100,0.0
2025-10-01 00:00:00-04:00,3.15,0.0,3.16,2.85,2.86,329300,0.0
2025-09-30 00:00:00-04:00,2.84,0.0,2.98,2.81,2.98,149200,0.0
2025-09-29 00:00:00-04:00,2.9,0.0,3.14,2.89,3.01,213500,0.0
2025-09-26 00:00:00-04:00,3.02,0.0,3.08,2.91,3.03,233100,0.0
2025-09-25 00:00:00-04:00,2.91,0.0,2.97,2.82,2.89,273200,0.0
2025-09-24 00:00:00-04:00,2.96,0.0,3.33,2.62,2.73,1335900,0.0
2025-09-23 00:00:00-04:00,2.82,0.0,2.92,2.82,2.91,272300,0.0
2025-09-22 00:00:00-04:00,2.91,0.0,3.16,2.79,3.13,1047100,0.0
2025-09-19 00:00:00-04:00,3.6,0.0,3.89,2.53,2.6,3881300,0.0
2025-09-18 00:00:00-04:00,2.66,0.0,2.79,2.58,2.79,436400,0.0
2025-09-17 00:00:00-04:00,2.68,0.0,2.87,2.54,2.79,747300,0.0
2025-09-16 00:00:00-04:00,2.88,0.0,2.99,2.81,2.98,350100,0.0
2025-09-15 00:00:00-04:00,2.94,0.0,3.26,2.82,3.12,633400,0.0
2025-09-12 00:00:00-04:00,3.14,0.0,3.46,3.13,3.32,730100,0.0
2025-09-11 00:00:00-04:00,3.13,0.0,3.2,2.92,2.92,823100,0.0
2025-09-10 00:00:00-04:00,3.05,0.0,3.46,2.81,2.81,1824200,0.0
2025-09-09 00:00:00-04:00,2.79,0.0,3.14,2.75,2.83,991900,0.0
2025-09-08 00:00:00-04:00,2.96,0.0,3.63,2.94,3.51,1395400,0.0
2025-09-05 00:00:00-04:00,3.68,0.0,4.7,3.57,4.19,2414900,0.0
2025-09-04 00:00:00-04:00,3.99,0.0,4.77,3.7,4.72,1608300,0.0
2025-09-03 00:00:00-04:00,4.77,0.0,5.23,4.54,5.12,1291500,0.0
2025-09-02 00:00:00-04:00,5.2,0.0,5.8,5.1,5.55,1619500,0.0
2025-08-29 00:00:00-04:00,5.95,0.0,7.25,5.76,6.49,5506400,0.0
2025-08-28 00:00:00-04:00,6.05,0.0,7.18,4.98,4.98,20284100,0.0
2025-08-27 00:00:00-04:00,4.96,0.0,6.04,4.94,5.65,4239200,0.0
2025-08-26 00:00:00-04:00,6.11,0.0,8.05,5.76,7.95,9987400,0.0
2025-08-25 00:00:00-04:00,7.71,0.0,9.08,4.8,4.97,79523200,0.0
2025-08-22 00:00:00-04:00,4.72,0.0,5.34,4.31,4.5,12839700,0.0
2025-08-21 00:00:00-04:00,4.97,0.0,6.09,4.13,4.97,113566500,0.0
