Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,8.8,8.8,8.8,8.8,290,0.0,0.0
2025-11-20 00:00:00-05:00,8.9,8.9,8.9,8.9,0,0.0,0.0
2025-11-19 00:00:00-05:00,8.9,8.9,8.9,8.9,0,0.08,0.0
2025-11-18 00:00:00-05:00,8.82,8.82,8.82,8.82,0,0.0,0.0
2025-11-17 00:00:00-05:00,8.82,8.82,8.82,8.82,0,0.0,0.0
2025-11-14 00:00:00-05:00,8.82,8.82,8.75,8.75,600,0.0,0.0
2025-11-13 00:00:00-05:00,9.02,9.02,9.02,9.02,0,0.0,0.0
2025-11-12 00:00:00-05:00,9.02,9.02,9.02,9.02,0,0.0,0.0
2025-11-11 00:00:00-05:00,9.02,9.02,9.02,9.02,0,0.0,0.0
2025-11-10 00:00:00-05:00,9.02,9.7,9.01,9.7,3000,0.0,0.0
2025-11-07 00:00:00-05:00,10.97,10.97,10.97,10.97,0,0.0,0.0
2025-11-06 00:00:00-05:00,10.97,10.97,10.97,10.97,0,0.0,0.0
2025-11-05 00:00:00-05:00,10.97,10.97,10.97,10.97,0,0.0,0.0
2025-11-04 00:00:00-05:00,10.97,10.97,10.97,10.97,0,0.0,0.0
2025-11-03 00:00:00-05:00,10.97,10.97,10.97,10.97,0,0.0,0.0
2025-10-31 00:00:00-04:00,10.97,10.97,10.97,10.97,0,0.0,0.0
2025-10-30 00:00:00-04:00,10.97,10.97,10.97,10.97,400,0.0,0.0
2025-10-29 00:00:00-04:00,11.68,11.68,11.68,11.68,300,0.0,0.0
2025-10-28 00:00:00-04:00,12.33,12.33,12.33,12.33,0,0.0,0.0
2025-10-27 00:00:00-04:00,12.33,12.33,12.33,12.33,0,0.0,0.0
2025-10-24 00:00:00-04:00,12.33,12.33,12.33,12.33,0,0.0,0.0
2025-10-23 00:00:00-04:00,12.33,12.33,12.33,12.33,300,0.0,0.0
2025-10-22 00:00:00-04:00,12.84,12.84,12.84,12.84,200,0.0,0.0
2025-10-21 00:00:00-04:00,12.0,12.0,12.0,12.0,0,0.0,0.0
2025-10-20 00:00:00-04:00,12.0,12.0,12.0,12.0,300,0.0,0.0
2025-10-17 00:00:00-04:00,12.42,12.42,12.42,12.42,0,0.0,0.0
2025-10-16 00:00:00-04:00,12.42,12.42,12.42,12.42,0,0.0,0.0
2025-10-15 00:00:00-04:00,12.42,12.42,12.42,12.42,0,0.0,0.0
2025-10-14 00:00:00-04:00,12.42,12.42,12.42,12.42,300,0.0,0.0
2025-10-13 00:00:00-04:00,12.49,12.49,12.49,12.49,400,0.0,0.0
2025-10-10 00:00:00-04:00,12.92,12.92,12.92,12.92,0,0.0,0.0
2025-10-09 00:00:00-04:00,12.92,12.92,12.92,12.92,0,0.0,0.0
2025-10-08 00:00:00-04:00,12.92,12.92,12.54,12.54,300,0.0,0.0
