Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,23.44,23.44,23.44,23.44,100,0.0,0.0
2025-11-20 00:00:00-05:00,24.79,24.79,23.44,23.44,633,0.0,0.0
2025-11-19 00:00:00-05:00,24.19,24.19,24.19,24.19,0,0.0,0.0
2025-11-18 00:00:00-05:00,23.98,23.98,23.98,23.98,0,0.0,0.0
2025-11-17 00:00:00-05:00,24.26,24.26,24.26,24.26,100,0.0,0.0
2025-11-14 00:00:00-05:00,24.5,24.5,24.5,24.5,100,0.0,0.0
2025-11-13 00:00:00-05:00,24.44,24.44,24.44,24.44,100,0.0,0.0
2025-11-12 00:00:00-05:00,25.1,25.11,25.05,25.11,89100,0.0,0.0
