Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,28.55,28.82,28.55,28.82,175,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,28.51,28.51,28.46,28.46,1294,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,28.31,28.31,28.31,28.31,100,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,28.2,28.21,28.07,28.07,300,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,28.47,28.47,28.47,28.47,100,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,28.56,28.56,28.56,28.56,100,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,29.07,29.07,28.76,28.76,300,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,29.05,29.05,29.05,29.05,100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,29.03,29.03,29.03,29.03,100,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,29.44,29.44,29.44,29.44,100,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,29.42,29.42,29.38,29.38,200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,29.23,29.23,29.23,29.23,100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,28.93,28.93,28.93,28.93,100,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,28.94,28.94,28.8,28.8,600,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,29.1,29.1,29.1,29.1,100,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,29.04,29.04,29.04,29.04,100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,29.28,29.28,29.28,29.28,100,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,29.26,29.26,29.26,29.26,100,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,29.05,29.05,29.05,29.05,100,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,29.26,29.26,29.26,29.26,100,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,29.57,29.6,29.52,29.52,500,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,29.57,29.57,29.57,29.57,100,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,29.41,29.41,29.41,29.41,100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,29.22,29.22,29.22,29.22,100,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,29.08,29.12,29.08,29.12,200,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,29.27,29.27,29.27,29.27,100,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,29.14,29.14,29.14,29.14,100,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,28.89,28.89,28.89,28.89,100,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,28.77,28.81,28.75,28.81,200,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,29.0,29.0,29.0,29.0,100,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,29.08,29.08,28.98,28.98,300,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,28.89,28.89,28.89,28.89,100,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,28.63,28.63,28.63,28.63,100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,29.21,29.22,29.16,29.22,600,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,29.29,29.31,29.29,29.31,100,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,29.12,29.17,29.12,29.17,100,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,29.21,29.27,29.21,29.27,200,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,29.22,29.22,29.19,29.19,100,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,29.13,29.13,29.13,29.13,200,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,29.03,29.16,29.03,29.16,700,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,28.94,29.06,28.94,29.06,1400,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,28.94,28.98,28.94,28.98,700,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,28.89,28.89,28.89,28.89,100,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,28.69,28.69,28.69,28.69,100,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,28.91,28.91,28.91,28.91,100,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,28.99,28.99,28.99,28.99,100,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,29.12,29.12,29.12,29.12,100,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,29.08,29.14,29.02,29.14,500,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,29.07,29.07,29.04,29.04,1300,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,28.91,28.91,28.91,28.91,100,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,28.83,28.86,28.83,28.86,300,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,28.92,28.92,28.92,28.92,100,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,28.89,28.89,28.89,28.89,100,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,29.02,29.02,29.02,29.02,100,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,28.76,28.76,28.76,28.76,100,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,28.58,28.6,28.58,28.6,200,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,28.45,28.51,28.45,28.51,2000,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,28.43,28.43,28.43,28.43,100,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,28.44,28.56,28.44,28.56,200,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,28.27,28.32,28.2,28.32,1400,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,28.28,28.35,28.28,28.35,2000,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,28.53,28.53,28.53,28.53,100,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,28.62,28.63,28.53,28.63,400,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,28.55,28.55,28.55,28.55,100,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,28.43,28.43,28.43,28.43,100,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,28.37,28.37,28.37,28.37,100,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,28.57,28.57,28.56,28.56,100,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,28.21,28.28,28.1,28.23,800,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,28.28,28.36,28.28,28.36,100,0.0,0.0,0.0
